Assemblage_Name	3-9601310-3	3-7055059-2734440	5929740-3-1	3-1891660-4480453	3390895-0-8109041	3-1-6327113	7238851-3-1	8414883-4656763-0	7840887-1-7095039	9972311-2-1137113	3-3707974-3718973	3-3477809-3	5946239-0-1332282	7843785-0-1	9235372-0-5131810	3875484-3-1	3-1943869-3	3-1-0	8640785-0-8521900	3-7055059-564720	8414883-5327433-0	1-0-7866010	8640785-0-7529398	1554846-3-7578673	1-1496316-1332282	3-7055059-9938358	2571736-0-1	3-8561376-3	8509138-3-1	9786207-3-1	3390895-0-1332282	7840887-1-0	1-7779517-7760198	8640785-0-8794488	5281220-0-1629695	1-0-5841274	3-6568569-9939212	7065265-3707974-3	8640785-9498408-1629695	8640785-0-5841274	619206-0-1332282	2740248-7055059-3	7840887-5327433-0	3390895-0-5131810	9922529-5327433-0	3-2868948-3	1-0-1332282	1554846-2499006-1	3-1-3528619	3-1-8990824	7840887-1-481658	7014914-0-5131810	3-653666-4703046	0-3-1	3390895-0-1870767	8738896-5327433-4768367	1554846-3-9444951	1554846-3-8621380	3072962-3-1	3-1-6082135	3-7055059-7173832	3-7055059-1958462	387922-3477809-7283944	8738896-7646450-0	7840887-1-8036048	1554846-3163077-1	3324617-0-1332282	8640785-0-8568858	1-0-8922429	1-0-5767864	3-3059583-9939212	1-2558689-8922429	1-3397020-1	119315-3-1	1554846-3-1	5044826-7055059-2315173	2774665-0-1332282	1573461-0-5131810	8640785-0-1629695	8738896-9164757-0	3-7055059-3	3-7055059-3655816	100957-3707974-3	3-3707974-4480453	3-4129641-0	1554846-3-5944795	8738896-5327433-0	4150030-3258497-0	2658818-7055059-3	4150030-9212084-0	1-7986083-1332282	1-7779517-5767864	1-3067778-8922429	1-8277181-4	7968060-3-1	8738896-5928885-0	7840887-7531002-7095039	4150030-5327433-0	3-3477809-9939212	3-7311521-3	1554846-3-2915015	1-0-7559490	1554846-4005685-1	8908964-0-1332282	1554846-1240319-1	1-0-1	9916939-3477809-3	8738896-6372303-0	6611806-7055059-3	4376463-0-1	8640785-262298-8794488	3-3707974-8373407	4-2-1137113	3390895-0-3623485	3-3707974-3	4765495-3707974-3	1-83766-1332282	3-7055059-7230458	1554846-5765224-1	3-5401261-3	3-7055059-4504805	7840887-1-9735947	1-3547971-8922429	3546114-0-1332282	566780-5327433-0	3-1-1560004	3-3707974-4703046	3900533-3-1	3-468978-3	3-4209327-0	3546114-0-1225155	6472658-3-1	1554846-2020268-1	2803339-3-1	1554846-3-41531	5044826-7055059-3	1554846-3824879-1
assemblage-983-911	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	63	0	0	0	61	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-505-653	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	41	12	0	0	0	14	0	0	0	17	0	0	0	0	0	0	34	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	112	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	7	0	0	0	0	0	8	6	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39
assemblage-844-496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	311	0	0	0	0	0	83	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12
assemblage-393-803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	148	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	33	0	0	19	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-390-801	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	110	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	77	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	14
assemblage-399-803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	30	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-94-496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	70	0	0	0	27	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	13	0	0	0	0	0	12
assemblage-860-563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	67	0	0	0	23	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	68	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	12	0	0	0	0	0	11
assemblage-283-928	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	92	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	17	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	67	0	0	0	0	0	42	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-983-757	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	34	0	0	0	0	7	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	76	0	0	0	61	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	14	16
