Assemblage_Name	4-4-1176163	4-4-9748214	4-3-6769371	4-1-0	1008488-1-0	4-2023243-2	3020952-4-3	8092610-1574203-2	2812595-4-3	2-2-2	4-3-3491768	2-2-2928394	4-4-7952391	1666773-3-2	4-3-9439170	4-116574-2	4-9971134-3	2-1574203-2153745	4-3-3634734	2-1574203-2	1008488-1-3786610	2-0-4	4-2561389-2	4-4-7884660	4-4-3	4-4-5415946	5768457-4-3	4-1-5807116	1618788-4-3	4-2792762-3	2-1-2	4-4-5767195	4-3-4997564	2398395-9971134-3	4-3-2	2107996-1-2	4-3504225-2
assemblage-419-440	0	0	0	27	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	14	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	2
assemblage-863-503	0	0	17	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	216	0	3
assemblage-963-905	0	0	0	335	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	6
assemblage-390-801	0	0	0	114	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	152	0	0	0	0	0	27	0	0	0	96	0	10
assemblage-172-461	0	0	0	22	151	0	0	0	0	20	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	38	0	0	0	210	16	9
assemblage-180-470	0	0	0	106	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	128	0	0	0	0	0	19	0	0	0	114	0	3
assemblage-877-553	0	0	0	93	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	58	0	9
assemblage-866-568	0	0	0	18	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	220	0	0	0	0	0	0	0	0	0	42	0	9
assemblage-877-571	0	0	0	61	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	122	0	5	0	0	0	22	0	0	0	193	0	6
assemblage-207-398	0	0	0	31	12	0	14	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	206	0	0	9	0	0	0	0	0	0	84	0	8
assemblage-661-958	0	0	0	16	28	0	0	0	0	0	0	0	0	0	0	0	0	12	0	80	0	0	0	0	107	0	0	0	0	0	59	0	0	0	196	0	2
assemblage-671-963	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	251	0	0	0	0	0	41	0	0	0	106	0	1
assemblage-239-219	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	53	0	0	89	0	0	0	0	164	0	0	0	0	0	0	0	0	0	92	0	13
assemblage-830-129	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	371	0	0	0	0	0	0	0	0	0	77	0	12
assemblage-831-161	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	144	0	0	0	0	0	0	0	0	0	141	0	8
assemblage-532-222	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	24	0	0	67	0	0	0	0	145	0	0	0	0	0	0	0	0	0	253	0	1
assemblage-131-161	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	28	0	0	48	0	0	0	0	132	0	0	0	0	0	0	0	0	7	264	0	7
assemblage-885-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	72	0	0	0	0	142	0	0	0	0	0	0	0	0	0	249	0	17
assemblage-871-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	52	0	0	0	0	198	0	0	0	0	0	0	0	0	0	199	0	13
assemblage-920-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	41	0	0	0	0	309	0	0	0	0	0	0	0	0	0	139	0	4
assemblage-866-95	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	248	0	0	0	0	0	0	27	0	0	198	0	1
assemblage-928-796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	31	0	0	0	0	249	0	0	0	0	0	0	0	0	0	165	0	10
assemblage-937-805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	18	0	0	0	0	246	0	0	0	0	0	0	0	0	0	230	0	2
assemblage-947-379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	15	0	0	0	0	266	0	0	0	0	0	0	0	0	0	195	0	4
assemblage-564-226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	238	0	3
assemblage-572-227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	251	0	6
assemblage-969-107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	241	0	2
assemblage-847-825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	8	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	207	0	3
assemblage-271-845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	6	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	186	0	2
assemblage-289-864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	158	0	8
