Assemblage_Name	3-9725635-4	4-3-9932309	4-4723711-0	3091844-0-1635124	0-2112371-2	4-0-5654638	2-1-1	4-0-2917261	3-1878814-4	1825532-0-1635124	4-0-4184041	4-9973433-0	4-1-3	4-3-163998	0-4-2	4-0-7381126	4-0-1980938	891278-0-1635124	4317251-4-2	4-0-4050207	4317251-4-3307379	4-0-7082927	7271794-9973433-0	4-5854247-1635124	4-0-0	4-5785589-2	1426136-0-1635124	4-8593711-0	0-2-3	1-2-5067093	4-154384-1635124	9539750-4-2	4-0-3276727	4-5425171-1635124	7271794-9973433-3235692	2244610-0-1635124	1641612-0-1635124	4519595-0-1635124	4-0-3606605	7947012-0-1635124	853236-3-2	565351-4-4	6119129-0-1635124	4-1859838-1635124	4-0-1635124	1-2-2	1-4-4	779731-0-1635124	4-0-3549205	4-8109660-0	2301235-0-1635124	4-2469481-1635124	4-3179003-2	4-3-2	9593048-4-2	1-4-5664853	9447550-4-2	4-4915259-1635124
assemblage-495-669	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	4
assemblage-504-675	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	8
assemblage-419-440	0	0	0	0	0	0	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	213	0	0	0	0	0	0	0	0	0	0	4
assemblage-200-472	0	0	0	0	0	0	0	0	7	0	0	23	0	0	131	0	0	0	0	0	0	0	0	0	66	0	0	0	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	62	43	0	0	0	0	0	0	127	0	0	0	13
assemblage-953-850	0	0	0	0	0	0	0	0	17	0	0	39	0	0	216	0	0	0	3	0	0	0	0	0	80	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	50	0	0	0	0	0	0	21	0	0	0	20
assemblage-397-779	0	0	0	0	0	0	0	0	0	0	0	32	9	0	90	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	92	32	0	7	0	0	0	0	11	0	0	0	4
assemblage-94-496	0	0	0	0	5	0	0	0	0	0	0	54	0	0	186	0	0	0	19	0	0	0	0	0	38	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0	106	0	0	0	5
assemblage-104-483	0	0	0	0	6	0	0	0	0	0	0	66	0	0	192	0	0	0	16	0	0	0	0	0	33	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	129	0	0	0	5
assemblage-860-563	0	0	0	0	0	0	0	0	0	0	0	62	0	0	208	0	0	0	17	0	0	0	0	0	37	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	41	0	0	0	0	0	0	108	0	0	0	9
assemblage-201-413	0	0	0	0	0	0	0	0	9	0	0	23	0	2	138	0	0	0	0	0	0	0	16	0	67	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	175	0	0	0	9
