Assemblage_Name	1-1-1	1-0-0	2955365-151181-1	2-3-2	2-3-271943	2-3-1744175	1-7197121-1	2-3031856-271943	1673785-3-2	1-151181-7434256	1-151181-6296080	3-4-8423495	2-3-4033898	3034875-151181-1	1-7598623-1	6955843-3-2	4088006-4898762-1	2-3-8077019	2-3-1467683	0-0-4	0-0-2	6545030-151181-1	2-3-1889429	1-151181-1	1-1820601-1	1988674-151181-1	1-151181-3019041	1-9002263-1	4-4898762-1	2-3-6521304	1166586-3-2	1-6663545-0	6438944-151181-1	1-2-0	9673895-3-2	4-0-2436022	3-4-1383596	3-4-1	2-3-9699983	3-4-2894348	1-1434409-1	6329706-3-2	2-3-7889914	1-6120847-1
assemblage-843-512	0	38	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-440-414	167	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	211	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-491-652	0	250	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6
assemblage-953-850	8	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	24	0	0	11	0	0	84	0	0	209	0	0	0	0	0	4
assemblage-199-476	94	10	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	40	0	0	0	0	0	0	0	0	83	0	0	0	0	0	3
assemblage-393-803	8	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	33	0	0	0	0	16	0	0	10	0	0	105	0	0	213	0	0	0	0	0	3
assemblage-877-568	166	18	0	196	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	9
assemblage-262-925	23	13	0	91	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	4
assemblage-866-568	42	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	13
assemblage-1000-776	52	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	50	0	0	73	14	0	0	0	0	13
assemblage-201-414	88	0	0	149	13	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	17
assemblage-984-775	83	0	0	192	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	7
assemblage-896-831	11	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	38	0	0	81	0	0	0	0	0	11
assemblage-239-219	15	0	0	140	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	29	0	0	94	0	0	0	0	0	10
assemblage-249-243	39	0	0	170	10	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	0	0	0	5
assemblage-130-147	0	0	0	152	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	7
assemblage-504-227	0	0	0	117	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	6
assemblage-494-231	0	0	0	163	64	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	200	0	44	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2
assemblage-859-100	0	0	0	267	0	0	0	0	0	0	0	53	0	0	0	0	0	0	45	0	0	8	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	5
assemblage-918-961	0	0	0	134	30	0	0	0	0	0	0	34	0	0	0	0	0	0	14	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-595-777	0	0	0	127	28	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	15	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	3
assemblage-763-598	0	0	0	147	0	0	0	0	0	0	0	71	0	0	0	0	0	0	136	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-765-587	0	0	0	259	0	0	0	0	0	0	0	40	0	0	0	6	0	0	55	0	0	0	0	105	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-502-373	0	0	0	102	0	0	0	0	0	0	0	102	0	0	0	0	0	0	25	0	0	0	0	203	0	7	0	0	0	10	0	0	0	0	0	0	0	45	0	0	0	0	0	6
assemblage-570-232	0	0	0	246	0	0	0	0	5	0	0	36	0	0	0	0	0	0	49	0	0	0	0	66	0	0	0	0	0	22	0	0	0	0	0	0	0	60	0	0	0	12	0	4
assemblage-964-125	0	0	0	189	0	0	0	0	0	0	0	114	0	0	0	8	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	13	0	0	0	10
assemblage-567-217	0	0	0	202	0	0	0	0	7	0	0	49	0	0	0	0	0	0	56	0	0	0	0	70	0	0	0	0	0	36	0	0	0	0	0	0	0	64	0	0	0	9	0	7
assemblage-280-849	0	0	10	69	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	257	0	0	49	0	0	13	0	0	0	0	0	0	0	88	0	0	0	0	0	5
