Assemblage_Name	0-0-7403797	4706629-1-2	5749698-0-5263532	4-8559728-1	0-0-1038099	4115329-0-3	2-3-0	4-1-1	840061-8958754-1	2563418-2-3	4-8958754-4638923	5636932-0-9954369	4-8958754-1	3-1-2	5749698-0-3	4-7863097-1	4-1-3908811	7949667-0-3	0-0-3720871	3-0-3	4-8958754-6085973	4-2-3	0-0-9954369	5749698-0-4780139	4-2866756-1	3-1-5186189	233831-0-3
assemblage-963-933	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	181	0	0	0	6
assemblage-419-440	0	0	0	0	0	0	19	0	0	0	0	0	0	48	298	0	0	0	0	0	0	0	135	0	0	0	0
assemblage-454-431	0	0	0	0	0	0	20	0	0	0	0	0	0	46	272	0	0	0	0	0	0	0	156	0	0	0	6
assemblage-199-466	0	0	0	0	0	0	0	28	0	0	0	0	29	17	19	0	7	0	0	0	0	297	92	10	0	0	1
assemblage-397-779	0	0	0	0	0	0	0	247	0	0	0	0	0	156	36	0	0	0	0	0	0	33	24	0	0	0	4
assemblage-931-759	0	0	0	0	0	0	0	192	0	0	0	0	0	93	102	0	0	0	0	0	0	6	104	0	0	0	3
assemblage-860-563	0	0	0	0	0	0	0	145	0	0	0	0	0	0	70	0	0	0	0	0	0	130	151	0	0	0	4
assemblage-262-925	0	0	0	0	0	0	0	125	0	0	0	0	8	139	25	0	0	0	0	0	0	84	119	0	0	0	0
assemblage-135-471	0	0	0	0	0	0	0	115	0	0	0	0	5	121	31	0	0	0	0	0	0	70	153	0	0	0	5
assemblage-204-396	0	0	0	0	0	0	0	12	0	0	0	0	29	32	100	0	0	0	0	0	0	163	159	0	0	0	5
assemblage-186-430	0	0	0	0	0	0	0	187	0	0	0	0	85	121	36	0	0	0	0	0	0	51	19	0	0	0	1
assemblage-203-418	0	0	0	0	34	0	0	67	0	0	0	0	28	67	160	0	0	0	0	0	0	20	119	0	0	0	5
assemblage-243-235	0	0	0	0	0	0	0	84	0	0	0	0	105	98	48	0	0	0	0	0	0	132	32	0	0	0	1
assemblage-781-955	0	0	0	0	0	0	0	213	0	0	0	0	124	79	13	0	0	0	0	0	0	17	54	0	0	0	0
assemblage-816-142	0	0	0	0	0	0	0	56	0	0	0	0	159	134	24	0	0	0	0	0	0	0	123	0	0	0	4
assemblage-698-780	0	0	0	8	0	0	0	130	0	0	0	0	75	50	0	0	0	0	0	0	0	0	228	0	0	0	9
assemblage-706-788	0	0	0	0	0	0	0	133	0	0	0	0	98	31	0	0	0	0	0	0	0	0	235	0	0	0	3
assemblage-503-216	0	0	0	0	0	0	0	17	0	0	0	0	192	110	51	0	0	0	0	0	0	49	77	0	0	0	4
assemblage-752-974	0	0	0	10	0	0	0	0	0	0	0	0	62	183	27	0	0	5	8	0	0	0	192	0	0	0	13
assemblage-747-973	0	0	0	11	0	0	0	0	0	0	4	0	56	181	27	0	0	2	9	0	0	0	202	0	0	0	8
assemblage-874-113	0	0	0	56	0	0	0	34	0	0	0	0	86	48	0	0	0	8	0	0	0	24	234	0	0	0	10
assemblage-505-367	0	0	12	47	0	0	0	0	0	0	0	0	166	20	121	0	0	0	0	0	0	0	130	0	0	0	4
assemblage-946-393	0	0	121	0	0	0	0	0	0	0	0	0	30	36	132	0	0	71	0	0	0	0	105	0	0	0	5
assemblage-502-373	0	0	6	45	0	0	0	0	0	0	0	0	140	9	149	0	0	0	0	0	0	0	144	0	0	0	7
assemblage-935-118	0	0	0	0	0	7	0	0	0	0	0	0	129	4	47	0	0	0	0	0	0	84	218	0	0	0	11
assemblage-116-774	0	0	13	11	0	0	0	0	0	0	0	0	94	11	146	0	0	22	0	0	0	43	160	0	0	0	0
assemblage-956-115	0	0	44	55	0	0	0	0	0	0	0	0	19	7	144	0	0	35	0	0	0	78	115	0	0	0	3
assemblage-632-438	0	0	4	0	0	0	0	0	0	0	0	62	67	0	155	0	0	0	0	0	0	95	109	0	0	0	8
assemblage-300-862	0	0	30	0	0	0	0	0	0	0	0	0	244	0	97	0	0	0	0	0	0	42	73	0	0	0	14
assemblage-628-437	0	0	19	4	0	0	0	0	0	0	0	0	284	0	72	0	0	0	0	0	0	31	89	0	0	0	1
