Assemblage_Name	2-205184-2	2-883078-2	2-2-9744070	3-3187731-4364823	3-3-3	0-4-4	1-2-3706756	2-2-1914245	3-3-5590698	3-1630758-3	3-3187731-3	2-2-2	4721315-2-2	5546696-2-3	2-2-6597982	3-4156229-3	7983895-3-3	2-8459577-2	7983895-3-5847855	3-9957623-3	2-7524067-2	8544153-2-9744070	6915620-2-0	1-2-0	1-2-3	3-6445387-3	1-8727287-0	4097352-2-2	3444608-2-3	3-1229681-3	7192432-2-2	2-2-8828848	4886771-2-2	3726807-2-3
assemblage-428-409	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0
assemblage-856-509	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	23	0	0	0	0	0
assemblage-974-919	0	0	0	0	279	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-375-787	0	0	0	0	181	21	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	36	89	0	0	0	0	0	0	0	0	5
assemblage-968-844	0	0	0	0	142	12	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	152	20	0	0	5	0	0	0	0	0	4
assemblage-390-801	0	0	0	0	184	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	124	23	0	0	0	0	0	0	0	0	5
assemblage-863-648	0	0	0	0	38	72	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	127	7	0	0	0	0	0	0	0	0	6
assemblage-274-943	0	0	0	0	31	60	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	21	118	0	0	0	0	0	0	0	0	3
assemblage-104-483	0	0	0	0	201	12	0	5	0	0	31	102	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	4
assemblage-186-430	0	0	0	0	56	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	156	76	0	0	0	0	0	0	0	0	13
assemblage-201-414	0	0	0	0	149	0	0	0	0	0	42	218	0	0	0	0	0	0	0	0	0	0	0	50	28	0	10	0	0	0	0	0	0	3
assemblage-176-91	0	0	0	0	34	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	179	79	0	0	0	0	0	0	0	0	9
assemblage-902-848	0	0	0	0	160	0	0	0	0	0	6	234	0	0	0	0	0	0	0	0	0	0	0	20	77	0	0	0	0	0	0	0	0	3
assemblage-906-831	0	0	0	0	65	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	3
assemblage-885-841	0	0	0	0	254	0	0	0	0	0	17	187	0	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0	0	19
assemblage-134-140	0	0	0	0	71	0	0	0	0	0	4	379	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	5
assemblage-692-760	0	0	0	0	194	0	0	0	0	0	85	151	0	0	0	0	0	0	0	0	0	0	0	7	61	0	0	0	0	0	0	0	0	2
assemblage-902-934	0	0	0	0	79	0	0	0	0	0	0	399	0	0	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	3
assemblage-918-961	0	0	0	0	195	0	0	0	0	0	12	252	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
assemblage-924-941	33	0	0	0	49	0	0	0	0	0	42	338	0	0	0	3	0	0	0	22	0	0	0	5	6	0	0	0	0	0	0	0	0	2
assemblage-768-990	0	0	0	0	169	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	5
assemblage-497-361	0	0	0	7	186	0	0	0	0	0	13	207	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	5
assemblage-751-589	8	0	0	0	143	0	0	0	0	0	56	237	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	7
assemblage-488-381	0	0	0	0	196	0	0	0	0	0	0	159	0	0	0	0	30	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	5
assemblage-572-224	0	0	0	0	136	0	0	0	26	0	29	191	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	6
assemblage-89-798	0	0	0	0	125	0	0	0	52	0	13	128	0	0	0	0	34	0	16	0	0	0	0	0	120	0	0	0	0	5	0	0	0	7
assemblage-969-107	0	0	0	0	118	0	0	0	0	0	74	244	0	0	0	0	5	0	0	0	0	0	0	0	19	0	0	0	0	37	0	0	0	3
assemblage-843-805	0	0	0	0	48	0	0	0	0	0	35	152	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	104	0	0	0	16
assemblage-847-825	0	0	0	0	121	0	0	0	10	0	13	210	0	0	0	0	0	0	33	0	0	0	0	0	78	0	0	0	0	26	0	0	0	9
assemblage-522-758	0	0	0	0	50	0	0	0	0	0	25	169	0	0	0	0	0	0	0	0	0	5	0	0	135	0	0	0	0	110	0	0	0	6
