Assemblage_Name	8902134-0-3	1-0-0	9167094-0-8649318	2939112-0-2	4-1478698-8649318	4-0-9279074	4-902870-8649318	2-2-3	2712354-0-3	4-0-3	4-0-2	4-0-8649318	3947447-0-3	4-0-5424420	0-2-0	4-0-9078498	2712354-0-7647261	0-6211201-4010348	0-2-2483514	0-2-8645162	3-0-1	4-558142-9078498	1-0-616987	2936154-0-616987	3109428-0-1	0-6211201-7519304	1549997-0-8649318	4-5473392-9078498	2-3922675-3	5885056-2-0	4-8589188-8649318	0-2-7519304	0-2-4580335	3-2-0	2936154-0-3692367	5885056-8545816-0	9515344-0-3	4509872-0-3	263453-0-3	5547970-2-0
assemblage-494-668	0	113	0	0	0	0	0	91	0	0	0	0	0	0	50	0	0	0	13	0	177	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-496-654	0	101	0	0	0	0	0	132	0	0	0	0	0	0	44	0	0	0	7	0	152	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-863-503	0	0	0	0	0	0	0	83	0	0	0	0	0	0	219	0	0	0	0	0	68	0	30	0	0	39	0	0	8	0	0	33	15	0	0	0	0	0	0	5
assemblage-953-850	0	24	0	0	0	0	0	103	0	39	83	0	0	0	36	0	0	0	0	0	11	0	46	8	29	41	0	0	0	66	0	0	0	3	0	0	0	0	0	11
assemblage-926-782	0	10	0	0	0	0	0	119	0	37	81	0	0	0	50	0	0	0	0	0	8	0	31	14	40	42	0	0	0	46	0	0	0	13	0	0	0	0	0	9
assemblage-954-840	0	0	0	0	0	0	0	74	0	18	167	0	0	0	0	0	0	0	0	60	32	0	0	0	0	0	0	0	0	14	0	0	0	113	0	0	0	0	0	22
assemblage-94-496	0	0	0	0	0	22	0	43	0	14	217	0	0	0	0	0	0	4	32	9	50	0	12	73	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-877-571	0	0	0	0	0	0	0	32	0	41	51	0	0	0	0	0	0	0	16	8	9	0	18	0	0	0	0	0	0	146	0	0	0	171	0	0	0	0	0	8
assemblage-282-940	0	0	0	0	0	0	0	23	0	23	57	0	0	0	0	0	0	0	25	9	0	0	17	0	0	0	0	0	0	152	0	0	0	182	0	0	0	0	0	12
assemblage-978-756	0	0	0	0	0	0	0	0	0	52	171	0	0	0	0	0	0	0	0	43	12	0	0	65	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	23
assemblage-1000-776	0	0	0	0	0	0	0	0	0	43	197	0	0	0	0	0	0	0	0	31	6	0	0	43	0	0	0	0	0	162	0	0	0	7	7	0	0	0	0	4
assemblage-664-969	0	0	0	0	0	0	0	29	0	11	203	0	0	0	0	0	0	0	0	38	12	0	0	0	0	0	0	0	0	182	0	0	0	11	0	0	0	0	0	14
assemblage-787-946	0	0	0	0	0	0	0	0	0	248	81	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	117	0	0	0	47	0	0	0	0	0	2
assemblage-906-831	0	0	0	0	0	0	0	0	0	262	76	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	99	0	0	0	54	0	0	0	0	0	2
assemblage-885-841	0	0	0	0	0	0	0	0	0	29	289	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	11	0	0	0	0	0	7
assemblage-902-934	0	0	0	0	0	0	0	0	0	226	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	32	0	0	0	0	0	7
assemblage-125-165	0	0	0	0	0	0	0	0	0	205	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	134	0	0	0	0	0	1
assemblage-901-928	0	0	0	0	0	0	0	0	0	24	182	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	169	0	0	0	0	0	0
assemblage-604-759	0	0	0	0	0	0	0	0	76	192	142	15	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	33	0	14	0	0	0	1
assemblage-924-941	0	0	0	0	0	0	0	0	81	198	127	5	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	29	0	13	0	0	0	4
assemblage-866-109	0	0	0	0	0	0	0	0	0	161	119	38	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	81	0	0	0	0	0	3
assemblage-944-801	15	0	0	0	0	0	5	0	0	241	73	42	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	36	0	0	0	0	0	17
assemblage-745-591	0	0	0	0	0	0	0	0	71	90	33	62	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	19	0	0	7	0	0	13
assemblage-767-570	17	0	0	0	0	0	5	0	0	281	52	33	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	22	0	0	0	0	0	11
