Assemblage_Name	2-3-4118030	8012547-3-2	2-3-9603312	2905495-3-2	7857976-3126777-0	2-1-9743018	2-1-6933844	3729081-5882793-0	2-3128058-3	3-9477228-0	3-3126777-5477009	6364987-3-2	2-3-1	2-3-2	216199-3-2	2067030-3-1	2-5103318-4	2-3-8554010	9373470-5815927-1	3-3126777-8638273	3236157-3128058-3	3-5882793-7068222	3-7472239-0	4473729-3-2	9393825-3-2	3-5882793-3241640	2-2040811-3	8496319-5882793-9231941	8113134-1-3	4688181-3-2	2-4-4733922	1-241641-2	1-1590513-2	3-2724819-0	2-3-4697913	3-5882793-0	3-2961242-0	3-5882793-3121813	8496319-5882793-0	1851491-3-2	2-4-4	3-5882793-4011644	2-1-5283645	3-1275912-0	2-2040811-880982	2-9602227-0	3-3126777-8832939	4500442-5882793-0	3577190-1-7614362	6035835-241641-2	2-1-174131	1-241641-3581186	3622711-1-3	4-1-7614362	3-5882793-8334283	2-2040811-5006001	2845711-1-3	5825536-241641-2	3-3126777-0	2-3-1055526	2-1-3	2457517-1-3	1-8733526-2	3-435558-0	3-5792296-0	9269434-5882793-0	2-2643468-2	2994532-3-2	1624505-5103318-4	2-9371226-3	9373470-3-1	2-2040811-6768573
assemblage-505-653	0	0	0	0	0	0	0	0	0	0	0	0	48	48	0	0	15	0	0	0	0	0	0	0	0	0	8	0	0	0	0	76	0	0	0	124	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	68	0	14	0	0	0	0	0	0	0	24	15
assemblage-843-512	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	7
assemblage-436-415	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	144	0	51	0	0	0	0	0	0	0	0	2
assemblage-936-773	0	0	0	0	0	0	0	0	0	0	0	0	39	4	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	5	136	0	0	0	82	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	54	0	13	0	0	0	0	30	9	0	0	0	0	0	0	0	0	0	6
assemblage-959-848	0	0	0	0	0	0	0	0	0	0	0	0	37	6	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	4	137	0	0	0	61	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	58	0	16	0	0	0	0	36	10	0	0	0	0	0	0	0	0	0	6
assemblage-195-455	0	0	0	0	0	0	0	0	25	0	0	0	0	16	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	128	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	74	0	0	0	0	0	0	0	3	0	0	16
assemblage-104-483	0	0	0	0	0	8	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	15	0	0	0	68	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	13	122	0	0	0	0	0	0	0	33	0	0	11
assemblage-266-940	0	0	0	0	0	13	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	26	0	0	0	70	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	7	108	0	0	0	0	0	0	0	35	0	0	7
assemblage-274-943	0	31	0	0	0	0	0	0	16	0	0	0	14	95	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	32	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	7
assemblage-176-112	10	89	0	0	0	0	0	0	29	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	179	4	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	19	22	0	0	0	0	0	0	0	0	0	0	11
