Assemblage_Name	8517980-4614004-4	8675673-0-0	0-6352353-0	6813564-2-4	4-2-2910112	6140978-3-3	1-0-0	4-2-2337325	8267228-2-4	6295570-2-4	0-1-4848987	0-1-0	0-1-3	3025200-2-4	2262854-4821374-4	5852357-1-0	1-0-4327374	4-1241383-1513211	2262854-2-4	6745523-2-4	0-8739864-0	8517980-4614004-4983064	8629226-1-0	8641314-1-0	0-2234079-3	4-3-3126106	0-7098262-0	1867932-2-4	4-8568146-4	9469141-1-0	2892988-1-0	6019633-1-0	4-924730-4	4-2-4	0-3-3	2262854-2-8625030	4-657704-4	9091382-0-0	9295769-2-4	8167629-3-3	4-2-1513211	4-9473306-7095506	4789055-2-1513211	0-6024665-0	6140978-3-9108366	9295769-2-520529	4-1-7095506	8517980-6454550-4	6872661-1-0	3654303-2-4	2393749-2-4	7363446-1-0	0-1-9846788	0-6768471-0
assemblage-486-677	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-974-919	0	0	0	0	0	50	282	0	0	0	0	80	0	0	0	0	7	0	0	0	7	0	0	0	45	0	8	0	0	0	0	0	0	0	10	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-863-503	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	5	0	0	0	0	0	0	42	0	0	0	0	0	0	0	421	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-390-801	0	0	0	0	0	13	14	0	0	0	0	81	0	0	0	0	10	0	10	0	0	0	0	0	21	0	0	0	0	0	0	0	0	227	0	0	0	0	24	0	0	25	0	0	0	0	66	0	0	0	0	0	0	9
assemblage-399-803	0	0	0	0	0	0	58	0	0	0	0	61	0	0	0	0	33	0	62	0	0	0	0	0	68	0	0	0	0	0	0	0	0	143	0	0	0	0	40	0	0	9	0	0	0	0	11	0	0	0	0	0	0	15
assemblage-908-762	0	0	0	0	0	0	54	0	0	0	0	63	0	0	0	0	38	0	58	0	0	0	0	0	51	0	0	0	0	0	0	0	0	169	0	0	0	0	38	0	0	15	0	0	0	0	6	0	0	0	0	0	0	8
assemblage-868-649	68	0	0	15	0	0	84	0	0	0	0	50	0	0	0	0	0	0	67	0	0	0	0	0	9	0	0	0	0	0	0	0	0	92	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-874-653	99	0	0	0	0	0	47	0	0	0	0	244	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	6
assemblage-870-655	120	0	0	0	0	0	7	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	18
assemblage-201-414	117	0	0	0	0	0	75	0	0	0	0	143	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	6
