Assemblage_Name	6252097-1407121-1573052	9600212-2-4	4-1961173-4	1-2-7688203	2-3-2	4-1-3457240	3733936-1-4	4-1-4	6252097-1407121-4	4-1-9555067	378468-1-4	4-7284994-4	2-5403467-2	6252097-1007152-4	2-3-7142172	6252097-1-4	554195-3434522-4	4-6315159-4	2-0-1	6252097-1-2464425	947304-3-2	4-4-4	3984903-1-4	1764543-3-1418905	2-3-2958633	2-3-5350978	8671790-1-4	1756390-1-4	7761088-3-2	1-2-0	1-4-0	2-3-237319	554195-1-4	6252097-1-4077556	9011545-1-4	1451366-1-4	6252097-1-2683065	1764543-3-2	6252097-911347-4
assemblage-275-260	0	91	0	0	236	0	0	62	0	0	0	0	0	0	2	0	0	0	26	0	0	24	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	2
assemblage-823-950	0	0	0	0	39	0	0	59	0	0	0	0	0	0	0	34	0	0	0	0	0	228	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	6
assemblage-107-971	0	42	0	0	0	14	0	314	0	0	0	0	0	0	0	0	0	61	0	0	0	43	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	0	2
assemblage-715-242	0	12	0	0	159	0	0	82	0	0	0	0	0	0	0	19	0	19	40	0	0	78	0	0	0	0	0	0	0	70	18	0	0	0	0	0	0	0	3
assemblage-526-377	0	81	0	0	110	0	0	210	0	0	0	0	0	0	0	15	0	0	59	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8
assemblage-536-381	0	0	0	0	17	0	0	197	0	0	0	0	0	0	0	129	0	53	26	0	0	48	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	2
assemblage-373-179	0	0	0	0	155	0	0	60	0	0	0	0	0	0	0	149	0	0	18	0	0	6	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	6
assemblage-371-189	0	0	0	0	162	0	0	116	0	0	0	0	0	0	0	98	0	0	54	0	0	36	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0	0	2
assemblage-479-511	0	0	0	0	36	0	0	190	0	0	0	0	0	0	0	135	0	54	21	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	13
assemblage-670-582	0	0	0	0	147	0	0	150	0	0	0	0	0	0	0	79	0	0	13	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	7
assemblage-210-392	0	0	0	0	135	0	0	117	0	0	0	0	0	0	0	159	0	12	46	0	0	0	0	0	4	0	0	0	0	26	0	0	0	0	0	0	0	0	1
assemblage-661-568	0	0	0	0	140	0	0	98	0	0	0	0	0	0	0	61	0	15	80	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	7
assemblage-237-898	0	0	0	0	156	0	0	107	0	0	0	0	0	0	0	77	0	0	122	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	18
