Assemblage_Name	2456566-5955090-1	0-2199178-8421961	7526818-2-0	8181842-1706024-5824497	4-2-620176	5064280-1498226-3	0-1286165-8421961	4-403061-0	0-0-9919751	1342691-1498226-3	8181842-1706024-2	9038449-0-1	4-2-552761	1359894-2-9933979	4-7253679-0	4-2-5375577	8181842-0-7297976	0-1-0	8181842-0-2	786923-0-2	5578377-0-2	4648033-0-1	1682838-2-9933979	4533354-0-1	8181842-0-1001118	8181842-2670002-2	2175350-2-0	0-0-1	3-1498226-3	4-2-7968712	8181842-9292811-2	110398-0-2	8181842-1634516-2	4483312-2-0	8181842-6606993-2	8181842-66355-2	8815130-2-9933979	0-0-7698699	4652388-0-1	8181842-972582-2	2698608-0-2	3-7829763-3	7034503-2-0	3857638-972582-2	4-2-0	8181842-0-2304639	4-8384817-0	8181842-0-4826992	8181842-6884333-2	5382265-2-0	4-2-9933979	9186909-2-0	6213936-0-2	2456566-5547716-1	8181842-0-2003347	2456566-5286380-1	4-2-6073974	2456566-0-1	2670613-0-2	8181842-0-7950703	0-6235857-1	2771501-2-0
assemblage-948-296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	35	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-121-962	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	187	213	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-952-290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	28	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-534-685	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	16	164	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	12
assemblage-527-662	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	16
assemblage-530-672	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	17	104	0	0	0	0	0	0	0	0	202	6	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	8
assemblage-463-898	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	9	0	0	0	0	0	0	0	0	0	0	33	0	25	0	0	0	6
assemblage-380-183	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	12	0	0	0	0	0	0	0	0	0	0	14	0	11	0	0	0	4
assemblage-490-497	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	10
assemblage-210-392	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	167	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	22
assemblage-409-893	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	149	0	0	0	4	0	0	0	0	0	0	0	0	15	0	0	0	15
assemblage-389-888	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	30	0	164	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	18
assemblage-429-117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-262-886	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-891-302	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-451-195	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	9	0	0	0	59	0	0	0	26	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-511-700	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	21	230	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	11
assemblage-427-778	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	27	259	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	11
assemblage-779-409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	124	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-278-731	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	161	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	15
assemblage-475-384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	161	0	0	0	0	0	0	0	0	0	21	0	0	56	0	0	0	12
assemblage-176-500	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	30	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-166-517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	46	0	0	0	0	0	45	5	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	9	0	0	0	0	0	0	12	0	0	0	3
assemblage-599-278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
assemblage-827-761	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-693-664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	17
assemblage-796-465	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	29	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-420-685	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	2
assemblage-428-665	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	9
assemblage-917-808	0	158	0	0	0	0	8	0	0	0	0	0	17	0	0	0	0	0	37	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	4
