Assemblage_Name	1428712-1-4	1256663-2179619-4	3-4-1045374	2-380218-0	3-4-8740220	6275435-0-3	1256663-1-8269240	6525693-4103266-3	6525693-9448401-3	5218189-1-4	9064318-0-3	0-4-0	1256663-1976509-4	1256663-9052811-4	1256663-1-9563811	8947749-0-3	4665141-0-3	1256663-1-4144043	1256663-1-9041386	1256663-1-4	4-0-3	3-1-4	6765393-0-3	7490770-4385186-4	1256663-8851743-4	1256663-1-4470410	1256663-1-4928766	7177055-0-3	1256663-1-560977	1256663-1-3373450	3-1-4680163	8432787-0-3	1256663-4385186-4	1579660-0-3	6765393-0-3152721	5800834-1-4	2-0-0	6525693-0-3	2720720-4-8740220	1256663-1-1194051	1256663-9066985-4	1256663-3967644-4	8784815-1-0	139648-0-3	1256663-4385186-4999055	685371-0-3	1256663-1-46044	2-1-0	2-681910-0	1256663-7379256-4	4-0-8641579	1256663-1-6514204	3942109-1-4	9807494-1-4	2-1-4146108	1256663-5028506-4	1256663-65857-4	1256663-4385186-1165191
assemblage-952-290	36	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	13	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-948-296	36	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-105-958	0	0	126	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	59	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0
assemblage-715-242	48	0	0	0	12	0	0	0	0	0	0	13	0	0	0	0	0	0	0	91	94	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	19	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	3
assemblage-837-802	72	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	68	110	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	8
assemblage-527-662	8	0	0	0	9	0	0	38	0	0	0	0	0	0	0	0	0	0	0	11	215	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	3
assemblage-152-385	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	158	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13	0	0	0	0	165	0	0	0	0	0	0	0	0	0	9
assemblage-463-898	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	22	5	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	5
assemblage-476-875	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	185	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	5	0	0	0	0	135	0	0	0	0	0	0	0	0	0	4
assemblage-909-174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	242	85	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	22	0	0	0	0	0	0	0	30	0	0	0	10	0	0	0	0	0	4
assemblage-402-869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	198	71	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	10
assemblage-410-885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	232	76	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	9
assemblage-260-895	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	39	185	0	12	0	0	0	0	0	0	0	0	0	124	0	0	9	0	0	0	32	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	3
