Assemblage_Name	8632509-0-1	4-4910805-8099229	6102546-4-1529234	2918495-0-1	202079-0-9997785	6211676-0-9997785	6102546-4-1423070	4410337-0-9997785	0-0-9997785	1205784-0-1	6102546-2965981-1423070	0-7172707-9997785	4848408-4-1423070	1195869-0-9997785	3-0-1339505	6635711-0-1	6830495-1703801-5469322	9816898-3627824-1	1090383-0-1	0-7535129-9997785	6102546-4-2707907	6224322-0-1	7063356-3-3	0-0-8783102	6102546-4-5327610	4-4-8099229	3646216-1776444-1	6830495-3-5469322	1205784-0-7251821	6102546-6904927-5327610	9486608-4-8099229	3646216-3955302-1	4-4-3463691	4750600-4-8099229	6102546-7431423-1423070	614604-1544678-9997785	7488472-0-1	3646216-1613813-1	4842810-0-1	4-4-3984232	9378996-0-1	6830495-3-3	3646216-0-6580487	689291-0-1	5111973-7846924-9997785	6102546-5825432-5327610	8634679-0-9997785	9596501-0-1	3-0-3348965	3-0-1	6102546-3888327-2707907	0-3981573-9997785	1993208-0-1	0-7466546-9997785	3646216-0-3064642	6102546-4-345576	7518063-4-5327610	3646216-9017153-1	6102546-2451159-5327610	7250865-0-1	4-381732-8099229	3646216-0-1	3575844-0-9997785	5111973-0-3010555	5111973-293764-9997785	1514011-0-1	6315780-0-6580487	721997-4-5327610	4-2584157-8099229	4842810-3856407-1	8639037-0-1	4842810-3627824-1	0-2046101-9997785	8196900-3173410-1423070	919520-0-9997785	3646216-9872915-1	3646216-9189155-1	3-0-9596384	5111973-0-9997785	9192689-4-8099229	5912548-0-1	3646216-0-4904180	7546338-4-8099229	919520-0-9222932	0-0-9752553
assemblage-825-957	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-948-296	0	0	0	0	0	0	0	0	57	0	0	0	0	10	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-105-958	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	145	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-534-685	0	0	0	0	0	26	0	0	95	0	0	0	0	0	0	0	0	0	0	23	30	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	130	8	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-506-671	0	0	0	0	0	30	0	0	98	0	0	0	0	0	0	0	0	0	0	22	12	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	153	9	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-521-677	0	0	0	0	0	29	0	0	293	0	0	0	0	0	0	0	0	0	0	18	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-476-875	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-488-508	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	54	0	0	0	0	0	0	0	0	0	0	24	0	0	11	0	0	9	0	0	0	0	0	0	30	0	4	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	5
assemblage-371-189	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	24
assemblage-688-589	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	33
assemblage-884-180	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	56	17	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	18	0	0	0	0	0	17
assemblage-677-600	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	59	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	9
assemblage-262-886	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	50	17	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	10	0	18	0	0	0	20
assemblage-437-101	0	0	0	0	0	0	119	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	10
assemblage-254-885	0	0	0	0	0	0	14	0	17	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	27	0	0	0	0	0	13	11	0	0	0	0	158	0	0	0	0	36	0	0	0	0	0	0	0	0	0	12	0	21	0	0	0	0	0	2
assemblage-1006-705	0	0	0	0	0	0	0	0	6	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	125	0	0	51	6	0	0	0	0	0	0	0	0	51	0	0	0	78	0	0	0	0	0	31
assemblage-431-760	0	0	0	0	0	0	0	0	3	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	119	0	0	55	0	0	0	0	0	0	0	0	0	51	0	0	0	85	0	0	0	0	0	39
assemblage-427-778	0	0	0	0	0	0	18	0	9	74	0	0	0	0	0	0	0	0	5	0	0	0	0	0	58	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	42	0	0	0	0	0	0	0	22	0	0	0	83	0	0	0	0	0	21
assemblage-974-263	0	0	0	0	0	0	96	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	17	0	0	23	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	16
assemblage-461-365	0	0	0	0	0	0	32	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	92	0	0	20	0	0	28	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	18
assemblage-473-354	0	0	0	0	0	0	103	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	118	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	36	0	0	36	0	0	0	0	0	6	0	0	0	0	10	0	0	0	0	0	16
assemblage-598-280	0	0	0	0	0	0	201	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2
assemblage-249-264	0	0	0	0	0	0	7	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5
assemblage-379-824	0	0	0	0	0	0	5	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	12
assemblage-795-450	0	9	0	0	0	0	126	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	10	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-786-478	0	0	0	0	0	0	110	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	10	0	0	81	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	15
assemblage-98-541	0	34	0	0	0	0	44	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	6
assemblage-801-129	0	0	0	4	0	0	13	0	0	0	0	0	0	0	0	15	0	29	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	4
assemblage-447-675	0	0	0	0	0	0	76	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	13
