Assemblage_Name	1-1615357-2	1-2-2195845	5375682-3-1	1-8681830-2	1-3419821-2	1-2355576-4791274	0-0-2331115	1-228925-1	1-7415391-1736334	1-1541717-1	1-7321878-2195845	0-8743518-2	1-7500796-1	1-1931318-2	2-6251191-0	1-5925142-1	719217-1-3	1-2-6362090	0-0-1459936	5340590-2-2	1-4136685-1	5246093-2-1736334	1-1517698-1	5506224-2-1736334	1-2-4317782	1-792831-2	1143033-0-0	1-2-5853622	1-2-4791274	7016068-3-1	1-4357345-2195845	1-2-3946745	1-2-1736334	0-0-2	1-3-1	1-5152289-1736334	1-4548491-1736334	1-475344-2	1-6591642-1736334	1-2-2320894	1-2-6486536	1-2-2428004	2-0-0	1-4284144-2	1-4090196-1736334	0-8311383-2	1-196179-2	1626684-2-2195845	1-2-4376344	1-466423-1736334	1-2-4900993	1-2-2	1-2-1330807	1-2-2595266	8945950-0-2331115	1-8167873-1	3726503-2-2195845	1-2-5935376	1-111670-1	0-3657366-2	1-8562573-1
assemblage-949-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	66	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	7	14
assemblage-951-307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	43	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	11
assemblage-955-304	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	45	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	12
assemblage-526-377	0	24	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	73	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	13
assemblage-546-680	0	7	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	72	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	6
assemblage-506-671	0	161	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	58	0	0	0	0	0	0	0	62	0	0	8	0	0	0	0	0	41	0	0	0	0	0	0	0	0	4
assemblage-488-508	0	129	0	0	0	0	77	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	181	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	6
assemblage-479-511	0	248	0	0	0	0	49	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	61	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	9
assemblage-371-189	0	25	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	168	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	3
assemblage-391-891	0	261	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	28	23	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	6
