assemblage	easting	northing
assemblage-818-645	818	645
assemblage-828-627	828	627
assemblage-821-647	821	647
assemblage-818-651	818	651
assemblage-821-643	821	643
assemblage-827-631	827	631
assemblage-831-655	831	655
assemblage-825-627	825	627
assemblage-474-671	474	671
assemblage-478-642	478	642
assemblage-473-651	473	651
assemblage-477-657	477	657
assemblage-482-665	482	665
assemblage-472-664	472	664
assemblage-492-657	492	657
assemblage-486-668	486	668
assemblage-101-914	101	914
assemblage-110-907	110	907
assemblage-94-905	94	905
assemblage-104-904	104	904
assemblage-96-896	96	896
assemblage-113-897	113	897
assemblage-103-910	103	910
assemblage-111-900	111	900
assemblage-249-737	249	737
assemblage-253-726	253	726
assemblage-268-734	268	734
assemblage-255-725	255	725
assemblage-247-716	247	716
assemblage-239-733	239	733
assemblage-250-731	250	731
assemblage-258-727	258	727
assemblage-677-301	677	301
assemblage-689-282	689	282
assemblage-676-292	676	292
assemblage-689-310	689	310
assemblage-700-275	700	275
assemblage-696-280	696	280
assemblage-688-285	688	285
assemblage-685-298	685	298
assemblage-618-925	618	925
assemblage-608-915	608	915
assemblage-632-931	632	931
assemblage-611-922	611	922
assemblage-609-945	609	945
assemblage-602-930	602	930
assemblage-599-945	599	945
assemblage-636-922	636	922
assemblage-606-504	606	504
assemblage-620-507	620	507
assemblage-604-525	604	525
assemblage-601-501	601	501
assemblage-608-503	608	503
assemblage-594-508	594	508
assemblage-600-497	600	497
assemblage-599-513	599	513
assemblage-361-733	361	733
assemblage-362-702	362	702
assemblage-370-702	370	702
assemblage-377-697	377	697
assemblage-369-692	369	692
assemblage-350-720	350	720
assemblage-339-716	339	716
assemblage-360-710	360	710
assemblage-731-490	731	490
assemblage-759-483	759	483
assemblage-731-474	731	474
assemblage-748-479	748	479
assemblage-746-471	746	471
assemblage-739-488	739	488
assemblage-757-478	757	478
assemblage-733-469	733	469
assemblage-602-744	602	744
assemblage-595-739	595	739
assemblage-605-717	605	717
assemblage-604-735	604	735
assemblage-612-728	612	728
assemblage-597-731	597	731
assemblage-585-727	585	727
assemblage-581-731	581	731
assemblage-722-982	722	982
assemblage-725-980	725	980
assemblage-732-983	732	983
assemblage-734-991	734	991
assemblage-721-988	721	988
assemblage-728-992	728	992
assemblage-729-1006	729	1006
assemblage-724-995	724	995
assemblage-918-974	918	974
assemblage-925-970	925	970
assemblage-909-972	909	972
assemblage-932-998	932	998
assemblage-903-987	903	987
assemblage-914-974	914	974
assemblage-928-974	928	974
assemblage-915-994	915	994
assemblage-866-914	866	914
assemblage-868-903	868	903
assemblage-842-915	842	915
assemblage-845-912	845	912
assemblage-869-918	869	918
assemblage-851-901	851	901
assemblage-849-911	849	911
assemblage-858-890	858	890
assemblage-441-398	441	398
assemblage-455-398	455	398
assemblage-458-410	458	410
assemblage-461-403	461	403
assemblage-435-396	435	396
assemblage-437-378	437	378
assemblage-463-409	463	409
assemblage-453-406	453	406
assemblage-815-115	815	115
assemblage-814-115	814	115
assemblage-824-118	824	118
assemblage-826-115	826	115
assemblage-817-130	817	130
assemblage-818-138	818	138
assemblage-810-118	810	118
assemblage-828-136	828	136
assemblage-755-641	755	641
assemblage-761-624	761	624
assemblage-752-634	752	634
assemblage-730-622	730	622
assemblage-754-638	754	638
assemblage-743-627	743	627
assemblage-734-635	734	635
assemblage-758-647	758	647
assemblage-745-570	745	570
assemblage-747-590	747	590
assemblage-752-603	752	603
assemblage-757-602	757	602
assemblage-747-593	747	593
assemblage-726-586	726	586
assemblage-734-616	734	616
assemblage-762-597	762	597
assemblage-501-749	501	749
assemblage-516-766	516	766
assemblage-503-748	503	748
assemblage-496-749	496	749
assemblage-523-751	523	751
assemblage-497-751	497	751
assemblage-488-754	488	754
assemblage-501-748	501	748
assemblage-251-956	251	956
assemblage-243-933	243	933
assemblage-234-940	234	940
assemblage-237-956	237	956
assemblage-210-937	210	937
assemblage-240-941	240	941
assemblage-222-939	222	939
assemblage-239-945	239	945
assemblage-353-255	353	255
assemblage-383-267	383	267
assemblage-370-248	370	248
assemblage-357-276	357	276
assemblage-373-247	373	247
assemblage-365-269	365	269
assemblage-364-249	364	249
assemblage-361-291	361	291
assemblage-110-333	110	333
assemblage-114-348	114	348
assemblage-137-330	137	330
assemblage-104-339	104	339
assemblage-109-340	109	340
assemblage-122-342	122	342
assemblage-121-343	121	343
assemblage-110-339	110	339
assemblage-597-286	597	286
assemblage-613-289	613	289
assemblage-618-292	618	292
assemblage-612-275	612	275
assemblage-605-286	605	286
assemblage-617-283	617	283
assemblage-605-283	605	283
assemblage-596-281	596	281
assemblage-226-489	226	489
assemblage-234-493	234	493
assemblage-227-460	227	460
assemblage-243-471	243	471
assemblage-218-462	218	462
assemblage-236-458	236	458
assemblage-236-475	236	475
assemblage-209-484	209	484
assemblage-943-355	943	355
assemblage-939-363	939	363
assemblage-937-366	937	366
assemblage-942-369	942	369
assemblage-936-352	936	352
assemblage-943-359	943	359
assemblage-933-359	933	359
assemblage-932-368	932	368
assemblage-483-768	483	768
assemblage-469-755	469	755
assemblage-450-743	450	743
assemblage-467-749	467	749
assemblage-470-744	470	744
assemblage-474-731	474	731
assemblage-472-737	472	737
assemblage-465-737	465	737
assemblage-894-875	894	875
assemblage-891-868	891	868
assemblage-897-857	897	857
assemblage-903-862	903	862
assemblage-901-855	901	855
assemblage-879-838	879	838
assemblage-885-866	885	866
assemblage-896-872	896	872
assemblage-343-696	343	696
assemblage-328-698	328	698
assemblage-327-693	327	693
assemblage-347-681	347	681
assemblage-336-700	336	700
assemblage-323-684	323	684
assemblage-340-683	340	683
assemblage-352-687	352	687
assemblage-516-122	516	122
