assemblage	easting	northing
assemblage-111-469	111	469
assemblage-128-456	128	456
assemblage-119-470	119	470
assemblage-91-467	91	467
assemblage-112-482	112	482
assemblage-111-459	111	459
assemblage-99-464	99	464
assemblage-101-463	101	463
assemblage-984-355	984	355
assemblage-945-351	945	351
assemblage-958-370	958	370
assemblage-949-365	949	365
assemblage-943-353	943	353
assemblage-958-360	958	360
assemblage-945-370	945	370
assemblage-951-342	951	342
assemblage-403-596	403	596
assemblage-385-579	385	579
assemblage-386-578	386	578
assemblage-385-584	385	584
assemblage-383-590	383	590
assemblage-401-583	401	583
assemblage-379-581	379	581
assemblage-379-593	379	593
assemblage-259-293	259	293
assemblage-261-275	261	275
assemblage-274-246	274	246
assemblage-278-277	278	277
assemblage-271-267	271	267
assemblage-266-272	266	272
assemblage-282-274	282	274
assemblage-290-286	290	286
assemblage-445-852	445	852
assemblage-454-843	454	843
assemblage-466-841	466	841
assemblage-447-857	447	857
assemblage-449-849	449	849
assemblage-442-845	442	845
assemblage-449-851	449	851
assemblage-474-839	474	839
assemblage-564-597	564	597
assemblage-559-595	559	595
assemblage-591-603	591	603
assemblage-580-593	580	593
assemblage-569-598	569	598
assemblage-574-610	574	610
assemblage-563-597	563	597
assemblage-574-599	574	599
assemblage-799-102	799	102
assemblage-822-107	822	107
assemblage-805-119	805	119
assemblage-818-101	818	101
assemblage-823-113	823	113
assemblage-804-94	804	94
assemblage-819-111	819	111
assemblage-791-118	791	118
assemblage-165-150	165	150
assemblage-166-138	166	138
assemblage-174-175	174	175
assemblage-171-164	171	164
assemblage-171-169	171	169
assemblage-145-150	145	150
assemblage-157-167	157	167
assemblage-176-154	176	154
assemblage-367-421	367	421
assemblage-344-429	344	429
assemblage-363-462	363	462
assemblage-368-454	368	454
assemblage-367-419	367	419
assemblage-359-436	359	436
assemblage-357-449	357	449
assemblage-355-450	355	450
assemblage-438-254	438	254
assemblage-454-277	454	277
assemblage-441-260	441	260
assemblage-463-280	463	280
assemblage-436-255	436	255
assemblage-452-257	452	257
assemblage-443-264	443	264
assemblage-461-266	461	266
assemblage-1001-562	1001	562
assemblage-1005-552	1005	552
assemblage-996-553	996	553
assemblage-986-557	986	557
assemblage-992-559	992	559
assemblage-993-573	993	573
assemblage-1010-584	1010	584
assemblage-994-556	994	556
assemblage-779-920	779	920
assemblage-770-926	770	926
assemblage-779-928	779	928
assemblage-756-921	756	921
assemblage-766-933	766	933
assemblage-775-935	775	935
assemblage-777-926	777	926
assemblage-774-925	774	925
assemblage-340-860	340	860
assemblage-352-864	352	864
assemblage-352-856	352	856
assemblage-361-855	361	855
assemblage-356-858	356	858
assemblage-352-867	352	867
assemblage-354-873	354	873
assemblage-357-864	357	864
assemblage-644-334	644	334
assemblage-647-322	647	322
assemblage-657-321	657	321
assemblage-669-336	669	336
assemblage-666-310	666	310
assemblage-648-313	648	313
assemblage-655-312	655	312
assemblage-645-340	645	340
assemblage-468-265	468	265
assemblage-478-257	478	257
assemblage-486-244	486	244
assemblage-465-260	465	260
assemblage-475-256	475	256
assemblage-467-253	467	253
assemblage-471-239	471	239
