assemblage	easting	northing
assemblage-258-243	258	243
assemblage-246-246	246	246
assemblage-237-258	237	258
assemblage-267-236	267	236
assemblage-242-242	242	242
assemblage-253-215	253	215
assemblage-260-232	260	232
assemblage-261-238	261	238
assemblage-449-332	449	332
assemblage-478-349	478	349
assemblage-471-319	471	319
assemblage-471-340	471	340
assemblage-477-336	477	336
assemblage-480-335	480	335
assemblage-466-351	466	351
assemblage-491-357	491	357
assemblage-198-177	198	177
assemblage-196-186	196	186
assemblage-204-172	204	172
assemblage-206-182	206	182
assemblage-209-176	209	176
assemblage-230-157	230	157
assemblage-194-177	194	177
assemblage-195-187	195	187
assemblage-907-527	907	527
assemblage-894-551	894	551
assemblage-898-542	898	542
assemblage-894-530	894	530
assemblage-915-529	915	529
assemblage-912-548	912	548
assemblage-897-536	897	536
assemblage-906-535	906	535
assemblage-759-877	759	877
assemblage-768-861	768	861
assemblage-742-872	742	872
assemblage-763-893	763	893
assemblage-760-869	760	869
assemblage-762-878	762	878
assemblage-759-874	759	874
assemblage-767-883	767	883
assemblage-172-188	172	188
assemblage-181-190	181	190
assemblage-151-166	151	166
assemblage-160-161	160	161
assemblage-160-196	160	196
assemblage-150-176	150	176
assemblage-183-166	183	166
assemblage-178-167	178	167
assemblage-631-459	631	459
assemblage-627-458	627	458
assemblage-614-458	614	458
assemblage-619-459	619	459
assemblage-623-454	623	454
assemblage-621-440	621	440
assemblage-614-459	614	459
assemblage-629-460	629	460
assemblage-361-255	361	255
assemblage-357-256	357	256
assemblage-359-271	359	271
assemblage-359-264	359	264
assemblage-352-266	352	266
assemblage-353-252	353	252
assemblage-370-281	370	281
assemblage-351-254	351	254
assemblage-250-872	250	872
assemblage-257-856	257	856
assemblage-262-855	262	855
assemblage-235-826	235	826
assemblage-229-848	229	848
assemblage-235-847	235	847
assemblage-239-868	239	868
assemblage-247-871	247	871
assemblage-285-119	285	119
assemblage-294-127	294	127
assemblage-280-126	280	126
assemblage-293-129	293	129
assemblage-305-132	305	132
assemblage-279-115	279	115
assemblage-296-136	296	136
assemblage-297-123	297	123
assemblage-910-1006	910	1006
assemblage-934-1004	934	1004
assemblage-923-976	923	976
assemblage-928-1006	928	1006
assemblage-916-1002	916	1002
assemblage-925-992	925	992
assemblage-919-1011	919	1011
assemblage-935-1004	935	1004
assemblage-525-934	525	934
assemblage-526-916	526	916
assemblage-508-917	508	917
assemblage-503-944	503	944
assemblage-526-929	526	929
assemblage-525-913	525	913
assemblage-540-938	540	938
assemblage-543-930	543	930
assemblage-619-655	619	655
assemblage-598-655	598	655
assemblage-609-673	609	673
assemblage-608-642	608	642
assemblage-597-662	597	662
assemblage-614-667	614	667
assemblage-604-675	604	675
assemblage-597-671	597	671
assemblage-498-521	498	521
assemblage-499-512	499	512
assemblage-491-516	491	516
assemblage-509-534	509	534
assemblage-499-537	499	537
assemblage-497-531	497	531
assemblage-500-534	500	534
assemblage-520-527	520	527
assemblage-471-161	471	161
assemblage-470-127	470	127
assemblage-458-160	458	160
assemblage-458-145	458	145
assemblage-481-156	481	156
assemblage-460-153	460	153
assemblage-457-134	457	134
assemblage-465-144	465	144
assemblage-575-740	575	740
assemblage-545-737	545	737
assemblage-562-744	562	744
assemblage-539-762	539	762
assemblage-562-770	562	770
assemblage-543-757	543	757
assemblage-549-750	549	750
assemblage-537-763	537	763
assemblage-957-688	957	688
assemblage-960-692	960	692
assemblage-955-695	955	695
assemblage-936-696	936	696
assemblage-922-687	922	687
assemblage-929-680	929	680
assemblage-921-684	921	684
assemblage-943-691	943	691
assemblage-928-253	928	253
assemblage-923-236	923	236
assemblage-929-253	929	253
assemblage-942-233	942	233
assemblage-950-251	950	251
assemblage-930-240	930	240
assemblage-936-250	936	250
assemblage-941-247	941	247
assemblage-882-392	882	392
assemblage-868-416	868	416
assemblage-870-401	870	401
assemblage-873-390	873	390
assemblage-889-395	889	395
assemblage-887-413	887	413
assemblage-884-412	884	412
assemblage-898-394	898	394
assemblage-803-461	803	461
