assemblage	easting	northing
assemblage-101-1026	101	1026
assemblage-186-156	186	156
assemblage-178-581	178	581
assemblage-24-97	24	97
assemblage-2-628	2	628
assemblage-148-5	148	5
assemblage-5-175	5	175
assemblage-56-50	56	50
assemblage-199-858	199	858
assemblage-94-652	94	652
assemblage-56-1249	56	1249
assemblage-61-922	61	922
assemblage-47-759	47	759
assemblage-146-1027	146	1027
assemblage-96-1245	96	1245
assemblage-197-484	197	484
assemblage-197-753	197	753
assemblage-40-802	40	802
assemblage-169-1336	169	1336
assemblage-37-994	37	994
assemblage-100-712	100	712
assemblage-10-399	10	399
assemblage-118-962	118	962
assemblage-64-562	64	562
assemblage-75-982	75	982
assemblage-203-52	203	52
assemblage-57-188	57	188
assemblage-120-894	120	894
assemblage-103-21	103	21
assemblage-157-291	157	291
assemblage-204-1089	204	1089
assemblage-93-1025	93	1025
assemblage-170-1249	170	1249
assemblage-24-56	24	56
assemblage-187-696	187	696
assemblage-39-75	39	75
assemblage-185-967	185	967
assemblage-7-736	7	736
assemblage-72-500	72	500
assemblage-151-1046	151	1046
assemblage-62-884	62	884
assemblage-133-586	133	586
assemblage-180-40	180	40
assemblage-208-825	208	825
assemblage-33-1336	33	1336
assemblage-121-1031	121	1031
assemblage-156-1138	156	1138
assemblage-183-1139	183	1139
assemblage-27-32	27	32
assemblage-87-1348	87	1348
assemblage-143-831	143	831
assemblage-23-259	23	259
assemblage-72-758	72	758
assemblage-174-1048	174	1048
assemblage-18-556	18	556
assemblage-0-1093	0	1093
assemblage-79-877	79	877
assemblage-176-813	176	813
assemblage-201-550	201	550
assemblage-19-1076	19	1076
assemblage-141-594	141	594
assemblage-189-450	189	450
assemblage-184-443	184	443
assemblage-80-1104	80	1104
assemblage-147-273	147	273
assemblage-216-1203	216	1203
assemblage-154-351	154	351
assemblage-226-115	226	115
assemblage-173-1150	173	1150
assemblage-190-161	190	161
assemblage-152-835	152	835
assemblage-27-1349	27	1349
assemblage-22-1096	22	1096
assemblage-154-628	154	628
assemblage-121-28	121	28
assemblage-44-412	44	412
assemblage-98-687	98	687
assemblage-171-810	171	810
assemblage-153-205	153	205
assemblage-69-549	69	549
assemblage-23-692	23	692
assemblage-178-520	178	520
assemblage-6-1124	6	1124
assemblage-58-218	58	218
assemblage-161-1166	161	1166
assemblage-176-800	176	800
assemblage-24-688	24	688
assemblage-69-713	69	713
assemblage-227-1028	227	1028
assemblage-196-181	196	181
assemblage-161-1275	161	1275
assemblage-186-1251	186	1251
assemblage-104-837	104	837
